epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8207,1.63085,3.33217,1.94659,0.004,0.97297,0.33919,0.14863,1.5401,3.6191,2.24343,0.00036,0.00036,0.00036
2,68.6907,1.41294,2.94202,1.85294,0.60777,0.29335,0.408,0.18187,1.62848,3.42567,2.33576,0.00066674,0.00066674,0.00066674
3,104.15,1.51681,2.86734,1.88869,0.41422,0.4587,0.44018,0.19872,1.45786,3.12805,2.16979,0.00089824,0.00089824,0.00089824
4,138.275,1.38237,2.64714,1.80779,0.4927,0.43243,0.50317,0.21163,1.60431,3.09924,2.37484,0.0010545,0.0010545,0.0010545
5,172.199,1.37437,2.64829,1.77035,0.52035,0.32432,0.37011,0.1376,1.65792,2.99953,2.38935,0.00113552,0.00113552,0.00113552
6,206.866,1.40785,2.61073,1.79123,0.51667,0.46234,0.42689,0.18846,1.65981,2.79806,2.28287,0.00101,0.00101,0.00101
7,240.901,1.38981,2.35792,1.81359,0.54489,0.51784,0.51052,0.25774,1.53338,2.87073,2.20443,0.000812,0.000812,0.000812
8,275.789,1.18342,2.23519,1.6189,0.66834,0.56757,0.54098,0.2586,1.44504,2.68896,2.11018,0.000614,0.000614,0.000614
9,309.607,1.1884,2.22304,1.5846,0.60849,0.63023,0.59788,0.30746,1.27446,2.35889,1.79108,0.000416,0.000416,0.000416
10,343.837,1.2077,2.1439,1.59763,0.62721,0.68221,0.67949,0.3629,1.26547,2.33506,1.7398,0.000218,0.000218,0.000218
