epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.8968,2.01003,2.64052,3.5624,2.23699,0.00356,0.86486,0.28033,0.09111,0.00056,0.13514,0.00125,0.00036,2.47243,1.42905,4.16393,3.92931,0.00036,0.00036,0.00036
2,95.3975,1.59278,1.1542,3.09029,1.94517,0.00356,0.86486,0.43277,0.16852,0.00322,0.78378,0.25329,0.05357,1.96951,0.98003,3.6631,2.7451,0.00066674,0.00066674,0.00066674
3,141.275,1.51724,1.12438,2.84364,1.88359,0.23814,0.22828,0.19767,0.08323,0.28924,0.10811,0.16903,0.03269,1.68954,0.92031,3.4792,2.42096,0.00089824,0.00089824,0.00089824
4,185.813,1.53516,1.05095,2.83381,1.89157,0.20207,0.27027,0.1848,0.06405,0.11816,0.18919,0.08855,0.01463,2.133,0.92375,3.49827,2.64221,0.0010545,0.0010545,0.0010545
5,230.986,1.55885,1.01208,2.78868,1.91182,0.32504,0.24324,0.19652,0.06533,0.21974,0.16216,0.06967,0.01023,2.02642,0.99843,3.46817,2.50452,0.00113552,0.00113552,0.00113552
6,275.689,1.50524,1.0247,2.65922,1.87362,0.42587,0.32432,0.34314,0.18297,0.33001,0.46603,0.34034,0.09328,1.64384,0.85546,3.12972,2.43123,0.00101,0.00101,0.00101
7,321.07,1.46076,0.93766,2.55731,1.88257,0.25609,0.29773,0.24434,0.10504,0.12406,0.45946,0.10284,0.02246,1.71112,0.82024,3.1505,2.38486,0.000812,0.000812,0.000812
8,366.02,1.32759,0.90567,2.38594,1.72183,0.3633,0.58612,0.36167,0.15043,0.24376,0.39213,0.18649,0.04103,1.45813,0.80604,2.83842,2.03987,0.000614,0.000614,0.000614
9,410.943,1.30404,0.85732,2.31268,1.67362,0.38403,0.54054,0.40003,0.16549,0.24692,0.35135,0.18536,0.0537,1.26948,0.72988,2.75355,1.84415,0.000416,0.000416,0.000416
10,456.081,1.28633,0.89033,2.26716,1.6935,0.44109,0.51351,0.47209,0.24788,0.38934,0.45946,0.32164,0.10378,1.3594,0.74156,2.64476,1.9337,0.000218,0.000218,0.000218
