epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.263,1.14965,2.6585,2.39861,1.36834,0.05632,0.89189,0.37993,0.15804,0.00233,0.56757,0.03637,0.00775,1.33501,1.01826,3.43426,2.1743,0.00036,0.00036,0.00036
2,95.2934,1.17594,1.69282,1.9195,1.31329,0.28421,0.13514,0.24457,0.09159,0.22171,0.10811,0.10185,0.01993,1.83869,1.01182,3.52292,2.78752,0.000725348,0.000725348,0.000725348
3,141.207,1.1701,1.58668,1.70665,1.29829,0.12998,0.32432,0.10231,0.03323,0.10738,0.10811,0.04636,0.00738,2.03877,1.15832,3.71469,2.45943,0.00107565,0.00107565,0.00107565
4,186.298,1.37657,1.43809,1.82941,1.43794,0.39718,0.39194,0.3605,0.15423,0.10439,0.16216,0.03901,0.00673,1.88577,1.157,3.21449,2.54427,0.0014109,0.0014109,0.0014109
5,231.449,1.31128,1.47444,1.73879,1.43971,0.24526,0.43243,0.2074,0.06192,0.11766,0.21622,0.0681,0.0132,2.2424,0.83508,4.01871,3.26003,0.0017311,0.0017311,0.0017311
6,276.354,1.3949,1.65272,1.72203,1.46249,0.39789,0.32432,0.30492,0.12747,0.39641,0.21622,0.19988,0.06121,2.10247,1.33134,3.83149,4.03389,0.001802,0.001802,0.001802
7,321.123,1.27276,1.46099,1.64158,1.39431,0.21919,0.35135,0.17785,0.06995,0.21687,0.46409,0.14223,0.03688,1.97267,0.95417,3.53302,2.9945,0.0017624,0.0017624,0.0017624
8,366.016,1.37527,1.56507,1.62872,1.42114,0.21349,0.37838,0.20693,0.07184,0.25273,0.35135,0.14098,0.03067,1.73667,0.94751,2.88838,2.37171,0.0017228,0.0017228,0.0017228
9,410.91,1.34655,1.4058,1.59837,1.44329,0.23989,0.48649,0.2111,0.08593,0.11345,0.35135,0.0889,0.02064,1.64413,0.7842,3.95844,2.61363,0.0016832,0.0016832,0.0016832
10,455.691,1.23291,1.40056,1.48282,1.36524,0.51331,0.48649,0.4884,0.20658,0.48447,0.35135,0.3456,0.08203,1.55499,0.85068,2.60585,2.1405,0.0016436,0.0016436,0.0016436
11,500.324,1.26329,1.44141,1.38591,1.34052,0.3203,0.45946,0.30722,0.12354,0.19633,0.40541,0.19481,0.03924,1.8176,0.7383,2.71041,2.25201,0.001604,0.001604,0.001604
12,545.211,1.16086,1.38755,1.39848,1.30339,0.41812,0.62162,0.52445,0.18609,0.18128,0.45946,0.21712,0.04825,1.62472,0.8256,2.39888,2.20935,0.0015644,0.0015644,0.0015644
13,590.114,1.2002,1.46961,1.39055,1.31593,0.55357,0.48649,0.55106,0.19738,0.24622,0.56505,0.2126,0.03607,1.50225,0.86579,2.7836,2.31512,0.0015248,0.0015248,0.0015248
14,635.678,1.11136,1.38457,1.31552,1.32284,0.43106,0.54054,0.52724,0.18617,0.33475,0.46245,0.27657,0.08212,1.61817,0.78375,2.85623,2.43262,0.0014852,0.0014852,0.0014852
